title,company,seniority,role_family,skills
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,SQL
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Power BI
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Excel
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Statistics
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Oracle
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,SAP
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Data Governance
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Arabic
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Communication
HR Data Analyst,SAUDI GOLD Refinery Co.,Mid,Data Analyst,Dashboards/Reporting
Junior Business Analyst: Data & Process Optimizer,Saudi Telecom Company,Junior/Entry,Data Analyst,Communication
Junior Business Analyst: Data & Process Optimizer,Saudi Telecom Company,Junior/Entry,Data Analyst,Dashboards/Reporting
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Python
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,SQL
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,R
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Power BI
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Tableau
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Excel
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Communication
"Data Analyst: Insights, Dashboards & Forecasting",Netrolynx AI,Mid,Data Analyst,Dashboards/Reporting
Drilling Data Analyst,Virtucruit,Mid,Data Analyst,Power BI
Drilling Data Analyst,Virtucruit,Mid,Data Analyst,Statistics
Drilling Data Analyst,Virtucruit,Mid,Data Analyst,Communication
Drilling Data Analyst,Virtucruit,Mid,Data Analyst,Dashboards/Reporting
Telecom Data Analyst (DW/BI) - Riyadh,DeepSource Technologies,Mid,Data Analyst,Data Warehousing
Telecom Data Analyst (DW/BI) - Riyadh,DeepSource Technologies,Mid,Data Analyst,Communication
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,SQL
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,Power BI
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,Tableau
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,Data Governance
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,Communication
Data Quality Analyst,Brainlake Advertising LLC,Senior,Data Analyst,Dashboards/Reporting
GCP Data Platform & AI Lead - Real-Time Analytics,Syarah,Lead/Manager+,Data Scientist,GCP
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,Power BI
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,Excel
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,ETL
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,SAP
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,Data Governance
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,Communication
Data Analytics & Reporting Manager(3720),Khatib & Alami,Lead/Manager+,Data Analyst,Dashboards/Reporting
Junior Customer Experience Data Analyst,BUPA Arabia,Junior/Entry,Data Analyst,Communication
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,SQL
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Spark
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,ETL
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Data Warehousing
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Hadoop
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Agile
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Data Governance
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Communication
Business Analyst (Data Warehouse & Analytics),Deepsource Technologies,Senior,Data Analyst,Dashboards/Reporting
Data Analyst NBFI Data Standardization,Leading Edge,Mid,Data Analyst,Python
Data Analyst NBFI Data Standardization,Leading Edge,Mid,Data Analyst,SQL
Data Analyst NBFI Data Standardization,Leading Edge,Mid,Data Analyst,Excel
Data Analyst NBFI Data Standardization,Leading Edge,Mid,Data Analyst,Communication
Data Analyst NBFI Data Standardization,Leading Edge,Mid,Data Analyst,Dashboards/Reporting
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Python
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,SQL
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,R
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Power BI
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Tableau
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Statistics
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Arabic
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Communication
Data Program Analyst (Saudi Arabia),Eram Talent,Mid,Data Analyst,Dashboards/Reporting
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Python
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,SQL
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Power BI
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Excel
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Machine Learning
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Statistics
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Data Governance
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Arabic
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Communication
Aftersales Data Analyst,Petromin Corporation,Mid,Data Analyst,Dashboards/Reporting
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Python
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,SQL
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,R
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Power BI
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Tableau
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Statistics
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Arabic
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Communication
Data Program Analyst (Saudi Arabia),Confidential,Mid,Data Analyst,Dashboards/Reporting
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,SQL
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,AWS
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Azure
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Spark
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,ETL
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Machine Learning
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Deep Learning
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,GenAI / LLMs
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Statistics
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Data Governance
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Communication
"Principal Specialist, Data Science & Analytics",Ma'aden Legal Employer,Lead/Manager+,Data Scientist,Dashboards/Reporting
Data Scientist / Advanced Analytics Consultant - 0 12+ Years Experience,Datamatics Global Service,Lead/Manager+,Data Scientist,Python
Data Scientist / Advanced Analytics Consultant - 0 12+ Years Experience,Datamatics Global Service,Lead/Manager+,Data Scientist,SQL
Data Scientist / Advanced Analytics Consultant - 0 12+ Years Experience,Datamatics Global Service,Lead/Manager+,Data Scientist,R
Data Scientist / Advanced Analytics Consultant - 0 12+ Years Experience,Datamatics Global Service,Lead/Manager+,Data Scientist,Power BI
Data Scientist / Advanced Analytics Consultant - 0 12+ Years Experience,Datamatics Global Service,Lead/Manager+,Data Scientist,Tableau
