title,company,city,posted_at,url,source,skills,n_skills,seniority,role_family
Data Analyst/Application Developer (Saudi Arabia),Eram Talent,Ad Dammām,2026-05-23T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5174395064985583616?trk=bingjobs,jsearch,Python|SQL|Power BI|Oracle|Arabic,5,Senior,Data Analyst
Data Program Analyst (Saudi Arabia),Eram Talent,Al Khubar,2026-05-23T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3942379091923042304?trk=bingjobs,jsearch,Python|SQL|R|Power BI|Tableau|Statistics|Arabic|Communication|Dashboards/Reporting,9,Mid,Data Analyst
Business Intelligence & Data Specialist,Saudi Business Machines,Ad Dammām,2026-06-19T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5354303170476507136?trk=bingjobs,jsearch,SQL|Statistics|Communication|Dashboards/Reporting,4,Senior,BI Developer
"Sports Data Collector (Football) - Al Hofuf, Saudi Arabia",Genius Sports,Ad Dammām,2026-08-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/661114246322454528?trk=bingjobs,jsearch,Statistics,1,Lead/Manager+,Other Data Role
HSE Analyst(Saudi Arabia),Eram Talent,Ad Dammām,2026-06-17T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4523236825585680384?trk=bingjobs,jsearch,Excel|Statistics|Dashboards/Reporting,3,Senior,Data Analyst
Data And AI Architect (Saudi Arabia),Eram Talent,Ad Dammām,2026-08-06T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5096014961260363776?trk=bingjobs,jsearch,AWS|Azure|GCP|Data Warehousing|Machine Learning|GenAI / LLMs|Data Governance|Communication,8,Lead/Manager+,Data Scientist
Media Analyst (Saudi Arabia),Eram Talent,Ad Dammām,2026-08-02T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1477460965195776000?trk=bingjobs,jsearch,Dashboards/Reporting,1,Mid,Data Analyst
Supply Chain Analyst (Saudi Arabia),Eram Talent,Ad Dammām,2026-09-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/6674828429415677952?trk=bingjobs,jsearch,SAP,1,Lead/Manager+,Data Analyst
"Sports Data Collector (Football) - Al Qatif, Saudi Arabia",Genius Sports,القطيف,2026-08-13T03:26:16.000Z,https://sa.linkedin.com/jobs/view/sports-data-collector-football-al-qatif-saudi-arabia-at-genius-sports-4421955100?trk=bingjobs,jsearch,Statistics,1,Lead/Manager+,Other Data Role
Data Center Technician - Saudi Arabia - Dammam - On-Site,RM Staffing B.V.,Ad Dammām,2026-05-22T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3097441239616716800?trk=bingjobs,jsearch,Communication,1,Mid,Other Data Role
Informatica (MDM) Developer - Data Governance (Saudi Arabia),Eram Talent,Al Khubar,2026-05-23T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7741446852586766336?trk=bingjobs,jsearch,SQL|ETL|Oracle|SQL Server|Data Governance|Communication,6,Lead/Manager+,Other Data Role
Data Center Technician - Saudi Arabia - Khobar - On-Site,Rebootmonkey,الخبر,2026-08-13T15:50:11.000Z,https://sa.linkedin.com/jobs/view/data-center-technician-saudi-arabia-khobar-on-site-at-reboot-monkey-4464386801?trk=bingjobs,jsearch,Communication,1,Mid,Other Data Role
Data Center Technician Saudi Arabia Onsite,RM Staffing B.V.,Al Khubar,2026-06-05T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4774398301078290432?trk=bingjobs,jsearch,Communication,1,Mid,Other Data Role
Data Analyst Vacancy In Riyadh Saudi Arabia,Workato,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3740056402517819392?trk=bingjobs,jsearch,Communication,1,Mid,Data Analyst
"Data Analyst In Riyadh, Saudi Arabia",Avanta Works,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8093911342278246400?trk=bingjobs,jsearch,Python|SQL|Tableau|Statistics,4,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,ConFlip,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4635569040922771456?trk=bingjobs,jsearch,Python|R|Statistics|SAS|Communication,5,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,job leader,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/2556384856216961024?trk=bingjobs,jsearch,SQL|Excel|Statistics,3,Junior/Entry,Data Analyst
"Data Analyst In Riyadh, Saudi Arabia",Flyper,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/2152322029590675456?trk=bingjobs,jsearch,SQL|ETL|Dashboards/Reporting,3,Senior,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,Jing Hau,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4959406001628381184?trk=bingjobs,jsearch,SQL|Tableau|Excel|Machine Learning|Statistics|SAS|Communication|Dashboards/Reporting,8,Junior/Entry,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,Work standard,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8306490920392458240?trk=bingjobs,jsearch,Python|SQL|Excel|Communication,4,Junior/Entry,Data Analyst
Data Analyst Job Vacancy In Riyadh Saudi Arabia,Workato,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4499823335357546496?trk=bingjobs,jsearch,R|Tableau|Statistics|SAS|Communication|Dashboards/Reporting,6,Mid,Data Analyst
Data Analyst Job Vacancy In Riyadh Saudi Arabia,Jing Hau,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5960683962043990016?trk=bingjobs,jsearch,Machine Learning|Communication,2,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,Avanta Works,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8085150433628127232?trk=bingjobs,jsearch,SQL|Excel|Statistics|Communication,4,Mid,Data Analyst
"Production ML Data Scientist — Computer Vision (Hybrid, ESOP)",Melon Digital Insurance,Ad Dammām,2026-08-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5891510850862186496?trk=bingjobs,jsearch,Python|Machine Learning,2,Mid,Data Scientist
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Al Khubar,2026-05-31T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8688940346303840256?trk=bingjobs,jsearch,Python|Java|Machine Learning|GenAI / LLMs|Docker/K8s|Dashboards/Reporting,6,Senior,Data Scientist
Unstructured Data Scientist,Beyond Limits,Al Khubar,2026-07-29T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/2586925647104311296?trk=bingjobs,jsearch,Python|Machine Learning|Deep Learning|NLP|Docker/K8s,5,Mid,Data Scientist
"Machine Learning Engineer, Staff Level (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Al Khubar,2026-05-31T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4765742120910716928?trk=bingjobs,jsearch,Python|Machine Learning|Deep Learning|NLP|GenAI / LLMs,5,Lead/Manager+,Data Scientist
Production Data Analyst ECT,GE Vernova,Ad Dammām,2026-05-08T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7521016177334681600?trk=bingjobs,jsearch,SQL|R|Power BI|Tableau|Excel|Statistics|SAS|Data Governance|Communication|Dashboards/Reporting,10,Junior/Entry,Data Analyst
Senior Unstructured Data Scientist,Beyond Limits,Al Khubar,2026-07-20T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/2925548702741299200?trk=bingjobs,jsearch,Python|Machine Learning|Deep Learning|NLP|Docker/K8s,5,Senior,Data Scientist
Data Analyst Vacancy In Riyadh Saudi Arabia,wantmore,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3462447308690423808?trk=bingjobs,jsearch,Communication,1,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,Jobcenter,Riyadh,2026-08-16T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4180397065546760192?trk=bingjobs,jsearch,Power BI|Tableau,2,Mid,Data Analyst
Data Analyst Job Vacancy In Riyadh Saudi Arabia,Jobcenter,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3524940251078328320?trk=bingjobs,jsearch,SQL|Machine Learning|Statistics|Oracle|Dashboards/Reporting,5,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,Woopel,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1451032622674214912?trk=bingjobs,jsearch,Python|SQL|R|Tableau|Communication,5,Mid,Data Analyst
Data Analyst Vacancy In Riyadh Saudi Arabia,work in usa,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1798019800702648320?trk=bingjobs,jsearch,SQL|Statistics|SAS|Communication,4,Mid,Data Analyst
Data Analyst Job Vacancy In Riyadh Saudi Arabia,Work standard,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1388539680286310400?trk=bingjobs,jsearch,Python|Tableau|Excel|Arabic|Communication,5,Mid,Data Analyst
Data Analyst Job Vacancy In Riyadh Saudi Arabia,work corp,Riyadh,2026-08-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1301399449595019264?trk=bingjobs,jsearch,SQL|Tableau|Excel|Communication,4,Mid,Data Analyst
Data Engineer,Jobs for Humanity,Ad Dammām,2026-04-02T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/212505212902965248?trk=bingjobs,jsearch,Python|SQL|Scala|AWS|GCP|Spark|Airflow|Kafka|ETL|Data Warehousing|Hadoop|Machine Learning|NoSQL,13,Mid,Data Engineer
Data Engineer (Python),Olik Global,Ad Dammām,2026-06-29T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/459856322259582976?trk=bingjobs,jsearch,Python|SQL|GCP|Airflow|ETL|Machine Learning|Docker/K8s|SAP|Data Governance,9,Senior,Data Engineer
"Data Engineer (Python) — Onsite, KSA: Pipelines & Analytics",ITHR Technologies Consulting LLC,Ad Dammām,2026-06-29T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1729253491643252736?trk=bingjobs,jsearch,Python|SQL|Airflow|ETL,4,Senior,Data Engineer
Big Data Engineer,INTECH,Ad Dammām,2026-02-28T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3920485036570181632?trk=bingjobs,jsearch,SQL|Scala|Power BI|Tableau|Spark|ETL|Hadoop|Oracle|Communication|Dashboards/Reporting,10,Mid,Data Engineer
Data Engineer (Python),ITHR Technologies Consulting LLC,Ad Dammām,2026-06-29T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8709573979079180288?trk=bingjobs,jsearch,Python|SQL|GCP|Spark|Airflow|ETL|Machine Learning|Docker/K8s|SAP|Data Governance,10,Senior,Data Engineer
